Running Busy Beaver 5 through Zeroth Field...

---- Execution Report ----
  Position -10969: 1
  Position -10968: 0
  Position -10967: 0
  Position -10966: 1
  Position -10965: 0
  Position -10964: 0
  Position -10963: 1
  Position -10962: 0
  Position -10961: 0
  Position -10960: 1
  Position -10959: 0
  Position -10958: 0
  Position -10957: 1
  Position -10956: 0
  Position -10955: 0
  Position -10954: 1
  Position -10953: 0
  Position -10952: 0
  Position -10951: 1
  Position -10950: 0
  Position -10949: 0
  Position -10948: 1
  Position -10947: 0
  Position -10946: 0
  Position -10945: 1
  Position -10944: 0
  Position -10943: 0
  Position -10942: 1
  Position -10941: 0
  Position -10940: 0
  Position -10939: 1
  Position -10938: 0
  Position -10937: 0
  Position -10936: 1
  Position -10935: 0
  Position -10934: 0
  Position -10933: 1
  Position -10932: 0
  Position -10931: 0
  Position -10930: 1
  Position -10929: 0
  Position -10928: 0
  Position -10927: 1
  Position -10926: 0
  Position -10925: 0
  Position -10924: 1
  Position -10923: 0
  Position -10922: 0
  Position -10921: 1
  Position -10920: 0
  Position -10919: 0
  Position -10918: 1
  Position -10917: 0
  Position -10916: 0
  Position -10915: 1
  Position -10914: 0
  Position -10913: 0
  Position -10912: 1
  Position -10911: 0
  Position -10910: 0
  Position -10909: 1
  Position -10908: 0
  Position -10907: 0
  Position -10906: 1
  Position -10905: 0
  Position -10904: 0
  Position -10903: 1
  Position -10902: 0
  Position -10901: 0
  Position -10900: 1
  Position -10899: 0
  Position -10898: 0
  Position -10897: 1
  Position -10896: 0
  Position -10895: 0
  Position -10894: 1
  Position -10893: 0
  Position -10892: 0
  Position -10891: 1
  Position -10890: 0
  Position -10889: 0
  Position -10888: 1
  Position -10887: 0
  Position -10886: 0
  Position -10885: 1
  Position -10884: 0
  Position -10883: 0
  Position -10882: 1
  Position -10881: 0
  Position -10880: 0
  Position -10879: 1
  Position -10878: 0
  Position -10877: 0
  Position -10876: 1
  Position -10875: 0
  Position -10874: 0
  Position -10873: 1
  Position -10872: 0
  Position -10871: 0
  Position -10870: 1
  Position -10869: 0
  Position -10868: 0
  Position -10867: 1
  Position -10866: 0
  Position -10865: 0
  Position -10864: 1
  Position -10863: 0
